,0
1079,Rocketeer
1080,Shaggy D.A.
1081,Sleeping Beauty (1959)
1082,Something Wicked This Way Comes (1983)
1083,Son of Flubber (1963)
1084,Unstrung Heroes (1995)
1085,Song of the South (1946)
1086,Splash (1984)
1087,Squanto
1088,Steamboat Willie (1940)
1089,Tall Tale (1994)
1090,Tex (1982)
1091,Tron (1982)
1092,Swing Kids (1993)
1093,Halloween
1094,L.A. Story (1991)
1095,Unzipped (1995)
1096,Jerk
1097,Dead Men Don't Wear Plaid (1982)
1098,Man with Two Brains
1099,Grand Canyon (1991)
1100,Graveyard Shift (1990)
1101,Outsiders
1102,Indiana Jones and the Temple of Doom (1984)
1103,Lord of the Rings
1104,Nineteen Eighty-Four (1984)
1105,Dead Zone
1106,Walk in the Clouds
1107,Maximum Overdrive (1986)
1108,Needful Things (1993)
1109,Cujo (1983)
1110,Children of the Corn (1984)
1111,All Dogs Go to Heaven (1989)
1112,Addams Family
1113,Ever After
1114,Snake Eyes (1998)
1115,First Love
1116,Safe Men (1998)
1117,Waterworld (1995)
1118,Saltmen of Tibet
1119,Atlantic City (1980)
1120,Autumn Sonata (Höstsonaten ) (1978)
1121,Who's Afraid of Virginia Woolf? (1966)
1122,Adventures in Babysitting (1987)
1123,Weird Science (1985)
1124,Doctor Dolittle (1967)
1125,Nutty Professor
1126,Charlotte's Web (1973)
1127,Watership Down (1978)
1128,White Man's Burden (1995)
1129,Secret of NIMH
1130,Dark Crystal
1131,American Tail
1132,American Tail
1133,Legend (1985)
1134,Sixteen Candles (1984)
1135,Pretty in Pink (1986)
1136,St. Elmo's Fire (1985)
1137,Clan of the Cave Bear
1138,House (1986)
1139,Wild Bill (1995)
1140,House II
1141,Gods Must Be Crazy
1142,Gods Must Be Crazy II
1143,Air Bud
1144,Avengers
1145,How Stella Got Her Groove Back (1998)
1146,Slums of Beverly Hills
1147,Best Man
1148,Chambermaid on the Titanic
1149,Henry
1150,Browning Version
1151,Henry
1152,Rosemary's Baby (1968)
1153,NeverEnding Story
1154,NeverEnding Story II
1155,Attack of the Killer Tomatoes! (1980)
1156,Surf Nazis Must Die (1987)
1157,Your Friends and Neighbors (1998)
1158,Return to Paradise (1998)
1159,Blade (1998)
1160,Dance with Me (1998)
1161,Copycat (1995)
1162,Bushwhacked (1995)
1163,Dead Man on Campus (1998)
1164,Wrongfully Accused (1998)
1165,Next Stop
1166,Strike! (a.k.a. All I Wanna Do
1167,Navigator
1168,Beetlejuice (1988)
1169,Déjà Vu (1997)
1170,Rope (1948)
1171,Family Plot (1976)
1172,Frenzy (1972)
1173,Burnt By the Sun (Utomlyonnye solntsem) (1994)
1174,Topaz (1969)
1175,Torn Curtain (1966)
1176,Marnie (1964)
1177,Wrong Man
1178,Man Who Knew Too Much
1179,Trouble with Harry
1180,I Confess (1953)
1181,Strangers on a Train (1951)
1182,Stage Fright (1950)
1183,54 (1998)
1184,Before the Rain (Pred dozhdot) (1994)
1185,I Married A Strange Person (1997)
1186,Why Do Fools Fall In Love? (1998)
1187,Merry War
1188,See the Sea (Regarde la mer) (1997)
1189,Willow (1988)
1190,Untouchables
1191,Dirty Work (1998)
1192,Knock Off (1998)
1193,Firelight (1997)
1194,Modulations (1998)
1195,Before Sunrise (1995)
1196,Under Capricorn (1949)
1197,Paradine Case
1198,Lifeboat (1944)
1199,Shadow of a Doubt (1943)
1200,Saboteur (1942)
1201,Mr. & Mrs. Smith (1941)
1202,Suspicion (1941)
1203,Jamaica Inn (1939)
1204,Lady Vanishes
1205,Billy Madison (1995)
1206,Young and Innocent (1937)
1207,Sabotage (1936)
1208,Secret Agent (1936)
1209,Man Who Knew Too Much
1210,Waltzes from Vienna (1933)
1211,Number Seventeen (1932)
1212,Rich and Strange (1932)
1213,Elstree Calling (1930)
1214,Juno and Paycock (1930)
1215,Babysitter
1216,Murder! (1930)
1217,Blackmail (1929)
1218,Farmer's Wife
1219,Ring
1220,Lodger
1221,Boys on the Side (1995)
1222,Rounders (1998)
1223,Cube (1997)
1224,Digging to China (1998)
1225,Let's Talk About Sex (1998)
1226,One Man's Hero (1999)
1227,Simon Birch (1998)
1228,Without Limits (1998)
1229,Seven Beauties (Pasqualino Settebellezze) (1976)
1230,Cure
1231,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975)
1232,My Bodyguard (1980)
1233,Class (1983)
1234,Grandview
1235,Broadcast News (1987)
1236,Allnighter
1237,Working Girl (1988)
1238,Stars and Bars (1988)
1239,Married to the Mob (1988)
1240,Say Anything... (1989)
1241,Castle Freak (1995)
1242,My Blue Heaven (1990)
1243,Men Don't Leave (1990)
1244,Cabinet of Dr. Ramirez
1245,Hero (1992)
1246,Toys (1992)
1247,Choices (1981)
1248,Young Doctors in Love (1982)
1249,Parasite (1982)
1250,No Small Affair (1984)
1251,Master Ninja I (1984)
1252,Circle of Friends (1995)
1253,Blame It on Rio (1984)
1254,Wisdom (1986)
1255,One Crazy Summer (1986)
1256,About Last Night... (1986)
1257,Seventh Sign
1258,We're No Angels (1989)
1259,Nothing But Trouble (1991)
1260,Butcher's Wife
1261,Mortal Thoughts (1991)
1262,Few Good Men
1263,Assassins (1995)
1264,Clerks (1994)
1265,Indecent Proposal (1993)
1266,Permanent Midnight (1998)
1267,One True Thing (1998)
1268,Rush Hour (1998)
1269,Six-String Samurai (1998)
1270,Soldier's Daughter Never Cries
1271,Somewhere in the City (1997)
1272,Ronin (1998)
1273,Don Juan DeMarco (1995)
1274,Urban Legend (1998)
1275,Clay Pigeons (1998)
1276,Monument Ave. (1998)
1277,Pecker (1998)
1278,Sheltering Sky
1279,Bandit Queen (1994)
1280,If.... (1968)
1281,Fiendish Plot of Dr. Fu Manchu
1282,Them! (1954)
1283,Thing
1284,Disclosure (1994)
1285,Player
1286,Stardust Memories (1980)
1287,Edward Scissorhands (1990)
1288,Overnight Delivery (1996)
1289,Shadrach (1998)
1290,Antz (1998)
1291,Impostors
1292,Night at the Roxbury
1293,What Dreams May Come (1998)
1294,Strangeland (1998)
1295,Dream Man (1995)
1296,Battle of the Sexes
1297,Producers
1298,History of the World
1299,My Cousin Vinny (1992)
1300,Nashville (1975)
1301,Love Is the Devil (1998)
1302,Slam (1998)
1303,Holy Man (1998)
1304,One Tough Cop (1998)
1305,Detroit 9000 (1973)
1306,Drop Zone (1994)
1307,Inheritors
1308,Mighty
1309,2010 (1984)
1310,Children of a Lesser God (1986)
1311,Elephant Man
1312,Beloved (1998)
1313,Bride of Chucky (1998)
1314,Practical Magic (1998)
1315,Alarmist
1316,Happiness (1998)
1317,Destiny Turns on the Radio (1995)
1318,Apt Pupil (1998)
1319,Pleasantville (1998)
1320,Soldier (1998)
1321,Cruise
1322,Life Is Beautiful (La Vita è bella) (1997)
1323,Orgazmo (1997)
1324,Shattered Image (1998)
1325,Tales from the Darkside
1326,Vampires (1998)
1327,Death and the Maiden (1994)
1328,American History X (1998)
1329,Hands on a Hard Body (1996)
1330,Living Out Loud (1998)
1331,Belly (1998)
1332,Gods and Monsters (1998)
1333,Siege
1334,Waterboy
1335,Elizabeth (1998)
1336,Velvet Goldmine (1998)
1337,I Still Know What You Did Last Summer (1998)
1338,Dolores Claiborne (1994)
1339,I'll Be Home For Christmas (1998)
1340,Meet Joe Black (1998)
1341,Dancing at Lughnasa (1998)
1342,Hard Core Logo (1996)
1343,Naked Man
1344,Runaway Train (1985)
1345,Desert Bloom (1986)
1346,Stepford Wives
1347,Pope of Greenwich Village
1348,Sid and Nancy (1986)
1349,Dumb & Dumber (1994)
1350,Mona Lisa (1986)
1351,Heart Condition (1990)
1352,Nights of Cabiria (Le Notti di Cabiria) (1957)
1353,Big Chill
1354,Enemy of the State (1998)
1355,Rugrats Movie
1356,Bug's Life
1357,Celebrity (1998)
1358,Central Station (Central do Brasil) (1998)
1359,Savior (1998)
1360,Eat Drink Man Woman (1994)
1361,Waking Ned Devine (1998)
1362,Celebration
1363,Pink Flamingos (1972)
1364,Glen or Glenda (1953)
1365,Godzilla (Gojira) (1954)
1366,Godzilla (Gojira) (1984)
1367,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962)
1368,King Kong (1933)
1369,King Kong (1976)
1370,King Kong Lives (1986)
1371,Powder (1995)
1372,Exotica (1994)
1373,Desperately Seeking Susan (1985)
1374,Emerald Forest
1375,Fletch (1985)
1376,Fletch Lives (1989)
1377,Red Sonja (1985)
1378,Gung Ho (1986)
1379,Money Pit
1380,View to a Kill
1381,Lifeforce (1985)
1382,Police Academy (1984)
1383,Exit to Eden (1994)
1384,Police Academy 2
1385,Police Academy 3
1386,Police Academy 4
1387,Police Academy 5
1388,Police Academy 6
1389,Babe
1390,Home Fries (1998)
1391,Jerry Springer
1392,Very Bad Things (1998)
1393,Steam
1394,Ed Wood (1994)
1395,Psycho (1998)
1396,Little Voice (1998)
1397,Simple Plan
1398,Jack Frost (1998)
1399,Star Trek
1400,Prince of Egypt
1401,Rushmore (1998)
1402,Shakespeare in Love (1998)
1403,Mass Appeal (1984)
1404,Miracle on 34th Street (1947)
1405,French Kiss (1995)
1406,Santa Claus
1407,Prancer (1989)
1408,Pale Rider (1985)
1409,Rambo
1410,First Blood (1982)
1411,Rambo III (1988)
1412,Jewel of the Nile
1413,Romancing the Stone (1984)
1414,Cocoon (1985)
1415,Cocoon
1416,Forget Paris (1995)
1417,Rocky II (1979)
1418,Rocky III (1982)
1419,Rocky IV (1985)
1420,Rocky V (1990)
1421,Clue (1985)
1422,Young Sherlock Holmes (1985)
1423,Violets Are Blue... (1986)
1424,Back to School (1986)
1425,Heartburn (1986)
1426,Nothing in Common (1986)
1427,Far From Home
1428,Extremities (1986)
1429,Karate Kid
1430,Karate Kid
1431,Karate Kid III
1432,Christmas Vacation (1989)
1433,You've Got Mail (1998)
1434,General
1435,Theory of Flight
1436,Thin Red Line
1437,Faculty
1438,Goofy Movie
1439,Mighty Joe Young (1998)
1440,Mighty Joe Young (1949)
1441,Patch Adams (1998)
1442,Stepmom (1998)
1443,Civil Action
1444,Down in the Delta (1998)
1445,Hurlyburly (1998)
1446,Tea with Mussolini (1999)
1447,Wilde (1997)
1448,Outside Ozona (1998)
1449,Hideaway (1995)
1450,Affliction (1997)
1451,Another Day in Paradise (1998)
1452,Hi-Lo Country
1453,Hilary and Jackie (1998)
1454,Playing by Heart (1998)
1455,24 7
1456,At First Sight (1999)
1457,In Dreams (1999)
1458,Varsity Blues (1999)
1459,Virus (1999)
1460,Fluke (1995)
1461,Garbage Pail Kids Movie
1462,Howard the Duck (1986)
1463,Gate
1464,Gate II
1465,Boy Who Could Fly
1466,Fly
1467,Fly
1468,Fly II
1469,Running Scared (1986)
1470,Armed and Dangerous (1986)
1471,Farinelli
1472,Texas Chainsaw Massacre
1473,Texas Chainsaw Massacre 2
1474,Leatherface
1475,Return of the Texas Chainsaw Massacre
1476,Ruthless People (1986)
1477,Trick or Treat (1986)
1478,Deadly Friend (1986)
1479,Belizaire the Cajun (1986)
1480,Name of the Rose
1481,Jumpin' Jack Flash (1986)
1482,Leaving Las Vegas (1995)
1483,Gordy (1995)
1484,Peggy Sue Got Married (1986)
1485,Crocodile Dundee (1986)
1486,Crocodile Dundee II (1988)
1487,Tough Guys (1986)
1488,Soul Man (1986)
1489,Color of Money
1490,52 Pick-Up (1986)
1491,Heartbreak Ridge (1986)
1492,Firewalker (1986)
1493,Three Amigos! (1986)
1494,Gumby
1495,Gloria (1999)
1496,Dry Cleaning (Nettoyage à sec) (1997)
1497,My Name Is Joe (1998)
1498,Still Crazy (1998)
1499,Day of the Beast
1500,Tinseltown (1998)
1501,She's All That (1999)
1502,24-hour Woman (1998)
1503,Blood
1504,Peeping Tom (1960)
1505,Glass Shield
1506,Payback (1999)
1507,Simply Irresistible (1999)
1508,20 Dates (1998)
1509,Harmonists
1510,Last Days
1511,Fantastic Planet
1512,Blast from the Past (1999)
1513,Message in a Bottle (1999)
1514,My Favorite Martian (1999)
1515,Hoop Dreams (1994)
1516,God Said 'Ha!' (1998)
1517,Jawbreaker (1999)
1518,October Sky (1999)
1519,Office Space (1999)
1520,Apple
1521,200 Cigarettes (1999)
1522,8MM (1999)
1523,Other Sister
1524,Breakfast of Champions (1999)
1525,Heavenly Creatures (1994)
1526,Eight Days a Week (1997)
1527,Just the Ticket (1999)
1528,Long Goodbye
1529,Ballad of Narayama
1530,Pet Sematary (1989)
1531,Pet Sematary II (1992)
1532,Children of the Corn II
1533,Children of the Corn III (1994)
1534,Christine (1983)
1535,Night Shift (1982)
1536,Houseguest (1994)
1537,House on Haunted Hill (1958)
1538,Airport (1970)
1539,Airport 1975 (1974)
1540,Airport '77 (1977)
1541,Rollercoaster (1977)
1542,Towering Inferno
1543,Alligator (1980)
1544,Meteor (1979)
1545,Westworld (1973)
1546,Logan's Run (1976)
1547,Immortal Beloved (1994)
1548,Planet of the Apes (1968)
1549,Beneath the Planet of the Apes (1970)
1550,Battle for the Planet of the Apes (1973)
1551,Conquest of the Planet of the Apes (1972)
1552,Escape from the Planet of the Apes (1971)
1553,Avalanche (1978)
1554,Earthquake (1974)
1555,Concorde
1556,Beyond the Poseidon Adventure (1979)
1557,Dancemaker (1998)
1558,Heavyweights (1994)
1559,Analyze This (1999)
1560,Corruptor
1561,Cruel Intentions (1999)
1562,Lock
1563,Six Ways to Sunday (1997)
1564,School of Flesh
1565,Relax... It's Just Sex (1998)
1566,Deep End of the Ocean
1567,Rage
1568,Hunted
1569,Wing Commander (1999)
1570,Haunting
1571,Dead Ringers (1988)
1572,My Boyfriend's Back (1993)
1573,Village of the Damned (1960)
1574,Children of the Damned (1963)
1575,Baby Geniuses (1999)
1576,Telling You (1998)
1577,I Stand Alone (Seul contre tous) (1998)
1578,Forces of Nature (1999)
1579,I.Q. (1994)
1580,King and I
1581,Ravenous (1999)
1582,True Crime (1999)
1583,Bandits (1997)
1584,Beauty (1998)
1585,King and I
1586,Doug's 1st Movie (1999)
1587,EDtv (1999)
1588,Mod Squad
1589,Othello (1995)
1590,Interview with the Vampire (1994)
1591,Among Giants (1998)
1592,Walk on the Moon
1593,Matrix
1594,10 Things I Hate About You (1999)
1595,Tango (1998)
1596,Out-of-Towners
1597,Dreamlife of Angels
1598,Love
1599,Metroland (1997)
1600,Sticky Fingers of Time
1601,Jefferson in Paris (1995)
1602,Following (1998)
1603,Go (1999)
1604,Never Been Kissed (1999)
1605,Twin Dragons (Shuang long hui) (1992)
1606,Cookie's Fortune (1999)
1607,Foolish (1999)
1608,Lovers of the Arctic Circle
1609,Goodbye
1610,Life (1999)
1611,Jerky Boys
1612,Friends & Lovers (1999)
1613,Hideous Kinky (1998)
1614,Jeanne and the Perfect Guy (Jeanne et le garçon formidable) (1998)
1615,Joyriders
1616,Monster
1617,Open Your Eyes (Abre los ojos) (1997)
1618,SLC Punk! (1998)
1619,Lost & Found (1999)
1620,Pushing Tin (1999)
1621,Junior (1994)
1622,Election (1999)
1623,eXistenZ (1999)
1624,Mighty Peking Man (Hsing hsing wang) (1977)
1625,Entrapment (1999)
1626,Idle Hands (1999)
1627,Get Real (1998)
1628,Heaven (1998)
1629,Just Cause (1995)
1630,King of Masks
1631,Three Seasons (1999)
1632,Winslow Boy
1633,Mildred Pierce (1945)
1634,Night of the Comet (1984)
1635,Chopping Mall (a.k.a. Killbots) (1986)
1636,My Science Project (1985)
1637,Dick Tracy (1990)
1638,Mummy
1639,Castle
1640,Kid in King Arthur's Court
1641,Mascara (1999)
1642,This Is My Father (1998)
1643,Xiu Xiu
1644,Midsummer Night's Dream
1645,Trippin' (1999)
1646,After Life (1998)
1647,Black Mask (Hak hap) (1996)
1648,Edge of Seventeen (1998)
1649,Endurance (1998)
1650,Star Wars
1651,Kiss of Death (1995)
1652,Love Letter
1653,Besieged (L' Assedio) (1998)
1654,Frogs for Snakes (1998)
1655,Saragossa Manuscript
1656,Mummy
1657,Mummy
1658,Mummy's Curse
1659,Mummy's Ghost
1660,Mummy's Hand
1661,Mummy's Tomb
1662,Star Wars
1663,Mommie Dearest (1981)
1664,Superman (1978)
1665,Superman II (1980)
1666,Superman III (1983)
1667,Superman IV
1668,Dracula (1931)
1669,Dracula (1958)
1670,House of Dracula (1945)
1671,House of Frankenstein (1944)
1672,Frankenstein (1931)
1673,Little Women (1994)
1674,Son of Frankenstein (1939)
1675,Ghost of Frankenstein
1676,Frankenstein Meets the Wolf Man (1943)
1677,Curse of Frankenstein
1678,Son of Dracula (1943)
1679,Wolf Man
1680,Howling II
1681,Tarantula (1955)
1682,Rocky Horror Picture Show
1683,Flying Saucer
1684,Little Princess
1685,It Came from Hollywood (1982)
1686,Thing From Another World
1687,It Came from Outer Space (1953)
1688,War of the Worlds
1689,It Came from Beneath the Sea (1955)
1690,Invasion of the Body Snatchers (1956)
1691,Earth Vs. the Flying Saucers (1956)
1692,It Conquered the World (1956)
1693,Mole People
1694,Swamp Thing (1982)
1695,Now and Then (1995)
1696,Ladybird Ladybird (1994)
1697,Pork Chop Hill (1959)
1698,Run Silent
1699,Notting Hill (1999)
1700,Thirteenth Floor
1701,Eternity and a Day (Mia eoniotita ke mia mera ) (1998)
1702,Loss of Sexual Innocence
1703,Twice Upon a Yesterday (1998)
1704,Instinct (1999)
1705,Buena Vista Social Club (1999)
1706,Desert Blue (1999)
1707,Enfer
1708,Finding North (1999)
1709,Free Enterprise (1998)
1710,Limbo (1999)
1711,Austin Powers
1712,Red Dwarf
1713,Red Violin
1714,Tarzan (1999)
1715,General's Daughter
1716,Like Water for Chocolate (Como agua para chocolate) (1992)
1717,Get Bruce (1999)
1718,Ideal Husband
1719,Legend of 1900
1720,Run Lola Run (Lola rennt) (1998)
1721,Trekkies (1997)
1722,Big Daddy (1999)
1723,Boys
1724,Dinner Game
1725,My Son the Fanatic (1998)
1726,Legends of the Fall (1994)
1727,Arachnophobia (1990)
1728,South Park
1729,Wild Wild West (1999)
1730,Summer of Sam (1999)
1731,Broken Vessels (1998)
1732,Lovers on the Bridge
1733,Late August
1734,American Pie (1999)
1735,Arlington Road (1999)
1736,Autumn Tale
1737,Major Payne (1994)
1738,Muppets From Space (1999)
1739,Blair Witch Project
1740,My Life So Far (1999)
1741,Eyes Wide Shut (1999)
1742,Lake Placid (1999)
1743,Wood
1744,Velocity of Gary
1745,Ghostbusters (1984)
1746,Ghostbusters II (1989)
1747,Drop Dead Gorgeous (1999)
1748,Little Odessa (1994)
1749,Haunting
1750,Inspector Gadget (1999)
1751,Trick (1999)
1752,Deep Blue Sea (1999)
1753,Mystery Men (1999)
1754,Runaway Bride (1999)
1755,Twin Falls Idaho (1999)
1756,Killing
1757,Killer's Kiss (1955)
1758,Spartacus (1960)
1759,My Crazy Life (Mi vida loca) (1993)
1760,Lolita (1962)
1761,Barry Lyndon (1975)
1762,400 Blows
1763,Jules and Jim (Jules et Jim) (1961)
1764,Vibes (1988)
1765,Mosquito Coast
1766,Golden Child
1767,Brighton Beach Memoirs (1986)
1768,Assassination (1987)
1769,Crimes of the Heart (1986)
1770,Love Affair (1994)
1771,Color Purple
1772,Kindred
1773,No Mercy (1986)
1774,Ménage (Tenue de soirée) (1986)
1775,Native Son (1986)
1776,Otello (1986)
1777,Mission
1778,Little Shop of Horrors (1986)
1779,Little Shop of Horrors
1780,Allan Quartermain and the Lost City of Gold (1987)
1781,Losing Isaiah (1995)
1782,Morning After
1783,Radio Days (1987)
1784,From the Hip (1987)
1785,Outrageous Fortune (1987)
1786,Bedroom Window
1787,Deadtime Stories (1987)
1788,Light of Day (1987)
1789,Wanted
1790,Frances (1982)
1791,Plenty (1985)
1792,Madness of King George
1793,Dick (1999)
1794,Gambler
1795,Iron Giant
1796,Sixth Sense
1797,Thomas Crown Affair
1798,Thomas Crown Affair
1799,Acid House
1800,Adventures of Sebastian Cole
1801,Illuminata (1998)
1802,Stiff Upper Lips (1998)
1803,Persuasion (1995)
1804,Mary Shelley's Frankenstein (1994)
1805,Yards
1806,Bowfinger (1999)
1807,Brokedown Palace (1999)
1808,Detroit Rock City (1999)
1809,Alice and Martin (Alice et Martin) (1998)
1810,Better Than Chocolate (1999)
1811,Head On (1998)
1812,Marcello Mastroianni
1813,Cobra (1925)
1814,Never Talk to Strangers (1995)
1815,Man of the House (1995)
1816,Heaven Can Wait (1978)
1817,Raven
1818,Tingler
1819,Pit and the Pendulum (1961)
1820,Tomb of Ligeia
1821,Masque of the Red Death
1822,Tales of Terror (1962)
1823,Haunted Honeymoon (1986)
1824,Cat's Eye (1985)
1825,And Now for Something Completely Different (1971)
1826,Mixed Nuts (1994)
1827,Damien
1828,Final Conflict
1829,Airplane! (1980)
1830,Airplane II
1831,American Werewolf in Paris
1832,European Vacation (1985)
1833,Vacation (1983)
1834,Funny Farm (1988)
1835,Big (1988)
1836,Problem Child (1990)
1837,Milk Money (1994)
1838,Problem Child 2 (1991)
1839,Little Nemo
1840,Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997)
1841,Tequila Sunrise (1988)
1842,Pelican Brief
1843,Christmas Story
1844,Mickey Blue Eyes (1999)
1845,Teaching Mrs. Tingle (1999)
1846,Universal Soldier
1847,Universal Soldier (1992)
1848,Miracle on 34th Street (1994)
1849,Love Stinks (1999)
1850,Perfect Blue (1997)
1851,With Friends Like These... (1998)
1852,In Too Deep (1999)
1853,Source
1854,Bat
1855,Iron Eagle (1986)
1856,Iron Eagle II (1988)
1857,Aces
1858,Iron Eagle IV (1995)
1859,Miami Rhapsody (1995)
1860,Three Days of the Condor (1975)
1861,Hamlet (1964)
1862,Male and Female (1919)
1863,Medicine Man (1992)
1864,Spiders
1865,On the Ropes (1999)
1866,Rosie (1998)
1867,13th Warrior
1868,Astronaut's Wife
1869,Dudley Do-Right (1999)
1870,My Family (1995)
1871,Muse
1872,Cabaret Balkan (Bure Baruta) (1998)
1873,Dog of Flanders
1874,Lucie Aubrac (1997)
1875,Very Thought of You
1876,Chill Factor (1999)
1877,Outside Providence (1999)
1878,Bedrooms & Hallways (1998)
1879,Murder in the First (1995)
1880,West Beirut (West Beyrouth) (1998)
1881,Stigmata (1999)
1882,Stir of Echoes (1999)
1883,Best Laid Plans (1999)
1884,Black Cat
1885,Minus Man
1886,White Boys (1999)
1887,Adventures of Milo and Otis
1888,Only Angels Have Wings (1939)
1889,Othello (1952)
1890,Nobody's Fool (1994)
1891,Queens Logic (1991)
1892,Public Access (1993)
1893,Saturn 3 (1979)
1894,Soldier's Story
1895,Communion (a.k.a. Alice
1896,Don't Look in the Basement! (1973)
1897,Nightmares (1983)
1898,I Saw What You Did (1965)
1899,Yellow Submarine (1968)
1900,American Beauty (1999)
1901,Nell (1994)
1902,Stop Making Sense (1984)
1903,Blue Streak (1999)
1904,For Love of the Game (1999)
1905,Caligula (1980)
1906,Hard Day's Night
1907,Splendor (1999)
1908,Sugar Town (1999)
1909,Buddy Holly Story
1910,Fright Night (1985)
1911,Fright Night Part II (1989)
1912,City of Lost Children
1913,New Jersey Drive (1995)
1914,Separation
1915,Barefoot in the Park (1967)
1916,Deliverance (1972)
1917,Excalibur (1981)
1918,Lulu on the Bridge (1998)
1919,Pajama Game
1920,Sommersby (1993)
1921,Thumbelina (1994)
1922,Tommy (1975)
1923,Hell Night (1981)
1924,Operation Condor (Feiying gaiwak) (1990)
1925,Operation Condor 2 (Longxiong hudi) (1990)
1926,Double Jeopardy (1999)
1927,Jakob the Liar (1999)
1928,Mumford (1999)
1929,Dog Park (1998)
1930,Guinevere (1999)
1931,Adventures of Elmo in Grouchland
1932,Simon Sez (1999)
1933,Drive Me Crazy (1999)
1934,Mystery
1935,Three Kings (1999)
1936,Happy
1937,New Rose Hotel (1998)
1938,Plunkett & MaCleane (1999)
1939,Romance (1999)
1940,Napoleon and Samantha (1972)
1941,Alvarez Kelly (1966)
1942,And the Ship Sails On (E la nave va) (1984)
1943,Dark Half
1944,Nemesis 2
1945,Gulliver's Travels (1939)
1946,Monkey Shines (1988)
1947,Phantasm (1979)
1948,Psycho II (1983)
1949,Psycho III (1986)
1950,Rain (1932)
1951,Sanjuro (1962)
1952,Random Hearts (1999)
1953,Superstar (1999)
1954,Boys Don't Cry (1999)
1955,Nina Takes a Lover (1994)
1956,Five Wives
1957,Grandfather
1958,Limey
1959,Mating Habits of the Earthbound Human
1960,Molly (1999)
1961,Risky Business (1983)
1962,Total Recall (1990)
1963,Body Heat (1981)
1964,Ferris Bueller's Day Off (1986)
1965,Natural Born Killers (1994)
1966,Year of Living Dangerously (1982)
1967,Children of Paradise (Les enfants du paradis) (1945)
1968,High Plains Drifter (1972)
1969,Hang 'em High (1967)
1970,Citizen's Band (a.k.a. Handle with Care) (1977)
1971,Drunken Master (Zui quan) (1979)
1972,Conformist
1973,Hairspray (1988)
1974,Brief Encounter (1946)
1975,Razor's Edge
1976,Only You (1994)
1977,Reds (1981)
1978,Return with Honor (1998)
1979,Time of the Gypsies (Dom za vesanje) (1989)
1980,Days of Heaven (1978)
1981,Fire Within
1982,Love Bewitched
1983,Lady Eve
1984,Sullivan's Travels (1942)
1985,Palm Beach Story
1986,Man Facing Southeast (Hombre Mirando al Sudeste) (1986)
1987,Once Were Warriors (1994)
1988,Niagara (1953)
1989,Gilda (1946)
1990,South Pacific (1958)
1991,Flashdance (1983)
1992,Indochine (1992)
1993,Dirty Dozen
1994,Mike's Murder (1984)
1995,Help! (1965)
1996,Goldfinger (1964)
1997,From Russia with Love (1963)
1998,Poison Ivy II (1995)
1999,Dr. No (1962)
2000,Blue Lagoon
2001,Fistful of Dollars
2002,Hard 8 (a.k.a. Sydney
2003,Home Alone 2
2004,Penitentiary II (1982)
2005,Someone to Watch Over Me (1987)
2006,Outbreak (1995)
2007,Fight Club (1999)
2008,Beefcake (1999)
2009,Story of Us
2010,Fever Pitch (1997)
2011,Joe the King (1999)
2012,Julien Donkey-Boy (1999)
2013,Omega Code
2014,Straight Story
2015,Bad Seed
2016,Time Bandits (1981)
2017,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
2018,Professional
2019,Man and a Woman
2020,Fitzcarraldo (1982)
2021,All That Jazz (1979)
2022,Red Sorghum (Hong Gao Liang) (1987)
2023,Crimes and Misdemeanors (1989)
2024,Bats (1999)
2025,Best Man
2026,Bringing Out the Dead (1999)
2027,Crazy in Alabama (1999)
2028,Three to Tango (1999)
2029,Perez Family
2030,Body Shots (1999)
2031,Brother
2032,Guardian
2033,Ipcress File
2034,On Any Sunday (1971)
2035,Robocop (1987)
2036,Robocop 2 (1990)
2037,Who Framed Roger Rabbit? (1988)
2038,Melvin and Howard (1980)
2039,Pyromaniac's Love Story
2040,For Your Eyes Only (1981)
2041,Licence to Kill (1989)
2042,Live and Let Die (1973)
2043,Rawhead Rex (1986)
2044,Thunderball (1965)
2045,City
2046,House on Haunted Hill
2047,Music of the Heart (1999)
2048,Being John Malkovich (1999)
2049,Dreaming of Joseph Lees (1998)
2050,Pulp Fiction (1994)
2051,Man of the Century (1999)
2052,Princess Mononoke
2053,Suburbans
2054,My Best Fiend (Mein liebster Feind) (1999)
2055,Train of Life (Train De Vie) (1998)
2056,Bachelor
2057,Bone Collector
2058,Insider
2059,American Movie (1999)
2060,Last Night (1998)
2061,Panther (1995)
2062,Rosetta (1999)
2063,They Shoot Horses
2064,Battling Butler (1926)
2065,Bride of Re-Animator (1990)
2066,Bustin' Loose (1981)
2067,Coma (1978)
2068,Creepshow (1982)
2069,Creepshow 2 (1987)
2070,Re-Animator (1985)
2071,Pushing Hands (1992)
2072,Drugstore Cowboy (1989)
2073,Falling Down (1993)
2074,Funhouse
2075,General
2076,Piranha (1978)
2077,Rough Night in Jericho (1967)
2078,Slaughterhouse (1987)
2079,Slaughterhouse 2 (1988)
2080,Taming of the Shrew
2081,Priest (1994)
2082,Nighthawks (1981)
2083,Yojimbo (1961)
